frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
129, 8.53333, 0.955038, 1, -41.7972, 36.3632, 558.963, 18.8098, 6.48644, -1.09947
130, 8.6, 0.949126, 1, -41.8569, 36.4363, 559.177, 18.7966, 6.49055, -1.13852
131, 8.66667, 0.949219, 1, -42.017, 36.4982, 559.466, 18.698, 6.55168, -1.17811
132, 8.73333, 0.949739, 1, -42.1355, 36.4416, 559.274, 18.7372, 6.56359, -1.18169
133, 8.8, 0.949614, 1, -42.209, 36.4251, 559.109, 18.8064, 6.59674, -1.21796
134, 8.86667, 0.948897, 1, -42.1768, 36.5626, 559.208, 18.9767, 6.56443, -1.22458
135, 8.93333, 0.949504, 1, -42.0092, 36.7068, 558.458, 19.1691, 6.48055, -1.13636
136, 9, 0.966182, 1, -41.8324, 36.2566, 555.804, 19.4797, 6.50895, -1.19778
137, 9.06667, 0.957875, 1, -41.4937, 35.6146, 552.008, 19.6475, 6.45993, -1.12341
138, 9.13333, 0.962452, 1, -41.1299, 34.9918, 548.259, 19.9078, 6.37724, -0.954965
139, 9.2, 0.961934, 1, -40.9782, 34.8962, 547.815, 19.8444, 6.40035, -0.815649
140, 9.26667, 0.961253, 1, -40.7816, 34.9044, 548.137, 19.7787, 6.32893, -0.60271
141, 9.33333, 0.96142, 1, -40.6423, 34.8617, 547.998, 19.5555, 6.27419, -0.502528
142, 9.4, 0.96326, 1, -40.3869, 34.7536, 547.749, 19.598, 6.21559, -0.347227
143, 9.46667, 0.962883, 1, -40.2614, 34.7309, 547.366, 19.6593, 6.14297, -0.356754
144, 9.53333, 0.962068, 1, -40.2547, 34.7395, 547.725, 19.6473, 6.18351, -0.331375
145, 9.6, 0.96166, 1, -40.2132, 34.7264, 547.526, 19.5982, 6.12676, -0.303817
146, 9.66667, 0.963744, 1, -40.2595, 34.6763, 547.537, 19.6454, 6.16183, -0.288087
147, 9.73333, 0.962827, 1, -40.3072, 34.7104, 547.841, 19.5952, 6.17058, -0.317249
148, 9.8, 0.961178, 1, -40.3078, 34.6901, 547.712, 19.6969, 6.16297, -0.319714
149, 9.86667, 0.960994, 1, -40.3492, 34.7286, 547.444, 19.6669, 6.10125, -0.339432
150, 9.93333, 0.958885, 1, -40.4164, 34.8025, 547.397, 19.7122, 6.08535, -0.33796
151, 10, 0.959966, 1, -40.4269, 34.8087, 546.886, 19.847, 6.08702, -0.399024
152, 10.0667, 0.959646, 1, -40.418, 34.87, 547.051, 19.9073, 6.00073, -0.435172
153, 10.1333, 0.958037, 1, -40.3984, 35.3649, 548.794, 20.0921, 5.75748, -0.464942
154, 10.2, 0.959501, 1, -40.8071, 36.4073, 554.221, 20.2523, 5.23437, -0.59281
155, 10.2667, 0.962585, 1, -41.4841, 37.785, 561.209, 20.713, 4.64416, -0.725826
156, 10.3333, 0.955731, 1, -41.0266, 37.6875, 560.413, 20.9529, 2.97082, -0.557955
157, 10.4, 0.95745, 1, -40.3915, 37.7562, 562.584, 20.2812, 1.13628, 0.0823926
158, 10.4667, 0.963953, 1, -40.5179, 37.3394, 563.184, 19.8381, -0.599726, 0.70317
159, 10.5333, 0.963088, 1, -41.3291, 36.975, 566.58, 19.4422, -2.36069, 0.815769
160, 10.6, 0.960027, 1, -42.3793, 36.6352, 567.731, 19.4494, -3.75154, 0.963861
161, 10.6667, 0.954574, 1, -43.7718, 35.9168, 570.214, 19.1208, -5.18711, 0.993815
162, 10.7333, 0.956575, 1, -44.4811, 35.2595, 572.096, 18.9407, -6.23072, 0.760909
163, 10.8, 0.95648, 1, -45.176, 34.6843, 572.766, 18.8316, -7.20898, 0.592108
164, 10.8667, 0.95269, 1, -45.435, 34.8701, 573.901, 18.5599, -7.93675, 0.459679
165, 10.9333, 0.949446, 1, -45.749, 35.3367, 575.849, 18.7812, -8.5711, 0.350689
166, 11, 0.946535, 1, -46.3516, 35.5366, 576.259, 19.0919, -8.82552, 0.312287
167, 11.0667, 0.946667, 1, -47.5655, 35.2657, 577.034, 18.9111, -8.90087, 0.539552
168, 11.1333, 0.949427, 1, -49.2823, 35.1137, 578.135, 18.9897, -8.82676, 0.416935
169, 11.2, 0.950544, 1, -51.3267, 34.9789, 578.806, 18.7981, -8.65896, 0.255949
170, 11.2667, 0.940645, 1, -53.2654, 34.6206, 578.31, 18.8459, -8.55008, -0.173362
171, 11.3333, 0.953917, 1, -54.0524, 34.5229, 576.471, 19.2886, -8.9273, -0.490634
172, 11.4, 0.94466, 1, -53.9968, 34.9585, 573.318, 19.5608, -9.41389, -0.580239
173, 11.4667, 0.945039, 1, -52.9579, 35.4355, 571.391, 19.8547, -10.0595, -0.766129
174, 11.5333, 0.933903, 1, -51.3641, 35.5356, 569.67, 19.2007, -11.6448, -0.720308
175, 11.6, 0.9326, 1, -49.0102, 35.5098, 565.723, 18.6721, -13.7299, -0.605229
